2015	401.62793
2016	404.32819
2017	407.09588
2018	409.92701
2019	412.82151
2020	415.78022
2021	418.79629
2022	421.86439
2023	424.99469
2024	428.19734
2025	431.47473
2026	434.82619
2027	438.24456
2028	441.7208
2029	445.25085
2030	448.83485
2031	452.47359
2032	456.177
2033	459.96398
2034	463.85181
2035	467.85003
2036	471.96047
2037	476.18237
2038	480.50799
2039	484.92724
2040	489.43545
2041	494.03235
2042	498.7297
2043	503.52959
2044	508.43266
2045	513.45614
2046	518.61062
2047	523.90006
2048	529.32418
2049	534.8752
2050	540.54279
2051	546.32201
2052	552.21189
2053	558.2122
2054	564.31311
2055	570.51669
2056	576.84343
2057	583.30471
2058	589.90539
2059	596.64656
2060	603.52045
2061	610.5165
2062	617.60526
2063	624.76367
2064	631.99471
2065	639.29052
2066	646.65274
2067	654.09843
2068	661.64491
2069	669.30474
2070	677.07762
2071	684.95429
2072	692.90196
2073	700.89416
2074	708.93159
2075	717.01548
2076	725.13597
2077	733.30667
2078	741.52368
2079	749.80466
2080	758.1823
2081	766.64451
2082	775.17446
2083	783.75141
2084	792.36578
2085	801.0188
2086	809.71464
2087	818.42214
2088	827.15719
2089	835.95594
2090	844.80471
2091	853.72536
2092	862.72597
2093	871.7768
2094	880.86435
2095	889.98162
2096	899.12407
2097	908.28871
2098	917.47137
2099	926.66527
2100	935.87437
